Win Prob,Loss Prob,Tie Prob
0.419417,0.476699,0.106796
0.432879,0.473735,0.094358
0.40708,0.510324,0.0855457
0.42483,0.494665,0.0843841
0.45667,0.468354,0.0788705
0.438529,0.464666,0.106486
0.422179,0.488327,0.0914397
0.465318,0.45183,0.0867052
0.431202,0.496124,0.0755814
0.443902,0.472195,0.084878
0.401168,0.511198,0.0915287
0.430244,0.489756,0.084878
0.417954,0.507722,0.0830116
0.417315,0.5107,0.07393
0.418357,0.485024,0.103382
0.442829,0.467054,0.0910853
0.401751,0.512646,0.0914397
0.402913,0.516505,0.0864078
0.466407,0.44888,0.0856865
0.416988,0.48166,0.106178
0.448008,0.464529,0.0894072
0.415131,0.508244,0.0814743
0.433654,0.484615,0.0846154
0.4258,0.483026,0.0950533
0.415058,0.491313,0.0974903
0.45245,0.475504,0.0806916
0.426513,0.487032,0.0912584
0.435421,0.476517,0.0949119
0.439335,0.459883,0.101761
0.462218,0.464181,0.0785083
0.439261,0.48105,0.0826045
0.435078,0.483527,0.0843023
0.444229,0.473327,0.0834142
0.423484,0.487969,0.0943215
0.426485,0.489776,0.0856865
0.416023,0.492278,0.0955598
0.438596,0.483431,0.082846
0.455954,0.463698,0.0842207
0.419789,0.494717,0.0883766
0.4355,0.500485,0.0688652
0.438409,0.477207,0.0882638
0.421616,0.485881,0.097371
0.408872,0.497589,0.096432
0.402927,0.487805,0.114146
0.427326,0.486434,0.0901163
0.437622,0.483431,0.0838207
0.424419,0.483527,0.0959302
0.414873,0.490215,0.0978474
0.411423,0.49758,0.0939013
0.441748,0.47767,0.0854369
0.445192,0.459615,0.0971154
0.426386,0.487572,0.0965583
0.429816,0.490803,0.0832527
0.427184,0.476699,0.102913
0.420749,0.486071,0.0989433
0.42029,0.494686,0.0937198
0.442607,0.464981,0.0992218
0.426357,0.474806,0.103682
0.405063,0.519961,0.0798442
0.429961,0.486381,0.0856031
0.442623,0.462874,0.102218
0.442085,0.482625,0.0781853
0.437801,0.486982,0.0829315
0.444444,0.477011,0.085249
0.434198,0.476465,0.0979827
0.390126,0.520813,0.0939013
0.451988,0.476237,0.0756547
0.45098,0.468627,0.0823529
0.435283,0.490892,0.0795781
